human,cause,country,birthdate,deathdate,gender_label,religion,occupation
Paul Edward Herbst,natural causes,United States of America,1927-06-17T00:00:00Z,2020-04-22T00:00:00Z,male,Lutheranism,navigator
Carl Barks,natural causes,United States of America,1901-03-27T00:00:00Z,2000-08-25T00:00:00Z,male,atheism,animator
Dennis Alan Bradt,natural causes,United States of America,1990-01-01T00:00:00Z,2020-05-13T00:00:00Z,male,United Methodist Church,lifeguard
Walt Disney,natural causes,United States of America,1901-12-05T00:00:00Z,1966-12-15T00:00:00Z,male,congregational church,animator
"William Backhouse Astor, Jr.",natural causes,United States of America,1829-07-12T00:00:00Z,1892-04-25T00:00:00Z,male,Episcopal Church,navigator
Jim Henson,natural causes,United States of America,1936-09-24T00:00:00Z,1990-05-16T00:00:00Z,male,Christian Science,animator
Thomas F. McDermott,natural causes,United States of America,1935-10-20T00:00:00Z,2020-05-05T00:00:00Z,male,Catholicism,engineer
Joseph Muzquiz,natural causes,United States of America,1912-10-14T00:00:00Z,1983-06-21T00:00:00Z,male,Catholic Church,engineer
Robert Adler,natural causes,United States of America,1913-12-04T00:00:00Z,2007-02-15T00:00:00Z,male,Judaism,engineer
Amar Bose,natural causes,United States of America,1929-11-02T00:00:00Z,2013-07-12T00:00:00Z,male,Hinduism,engineer
Abdullah al-Tariki,natural causes,Saudi Arabia,1919-03-19T00:00:00Z,1997-09-07T00:00:00Z,male,Islam,engineer
Turgut Özal,natural causes,Turkey,1927-10-13T00:00:00Z,1993-04-17T00:00:00Z,male,Sunni Islam,engineer
Mehdi Bazargan,natural causes,Iran,1907-09-01T00:00:00Z,1995-01-20T00:00:00Z,male,Christian,engineer
Wernher von Braun,natural causes,Weimar Republic,1912-03-23T00:00:00Z,1977-06-16T00:00:00Z,male,Evangelicalism,engineer
Gabriel Narutowicz,homicide,Russian Empire,1865-03-17T00:00:00Z,1922-12-16T00:00:00Z,male,Catholic Church,engineer
J. Robert Oppenheimer,natural causes,United States of America,1904-04-22T00:00:00Z,1967-02-18T00:00:00Z,male,apostasy in Catholicism,engineer
Serge Dassault,natural causes,France,1925-04-04T00:00:00Z,2018-05-28T00:00:00Z,male,Catholic Church,engineer
Fazlur Khan,natural causes,Bangladesh,1929-04-03T00:00:00Z,1982-03-27T00:00:00Z,male,Islam,engineer
Athar Ali,homicide,Pakistan,1963-08-20T00:00:00Z,2003-10-04T00:00:00Z,male,Islam,engineer
Howard Hughes,natural causes,United States of America,1905-12-24T00:00:00Z,1976-04-05T00:00:00Z,male,Methodism,engineer
Abdurrahim El-Keib,natural causes,Libya,1950-03-02T00:00:00Z,2020-04-21T00:00:00Z,male,Islam,engineer
Nasreddin Murat-Khan,natural causes,Russian Empire,1904-01-01T00:00:00Z,1970-10-15T00:00:00Z,male,Islam,engineer
Walther Rathenau,homicide,German Empire,1867-09-29T00:00:00Z,1922-06-24T00:00:00Z,male,Judaism,engineer
Kalpana Chawla,accident,United States of America,1962-03-17T00:00:00Z,2003-02-01T00:00:00Z,female,Hinduism,engineer
Álvaro Alsogaray,natural causes,Argentina,1913-06-22T00:00:00Z,2005-04-01T00:00:00Z,male,Catholicism,engineer
A. P. J. Abdul Kalam,natural causes,India,1931-10-15T00:00:00Z,2015-07-27T00:00:00Z,male,Sunni Islam,engineer
Claude Shannon,natural causes,United States of America,1916-04-30T00:00:00Z,2001-02-24T00:00:00Z,male,atheism,engineer
Ramon Magsaysay,accident,Philippines,1907-08-31T00:00:00Z,1957-03-17T00:00:00Z,male,Catholic Church,engineer
Fazlur Khan,natural causes,British India,1929-04-03T00:00:00Z,1982-03-27T00:00:00Z,male,Islam,engineer
Leó Szilárd,natural causes,United States of America,1898-02-11T00:00:00Z,1964-05-30T00:00:00Z,male,apostasy in Catholicism,engineer
Abu Mahdi al-Muhandis,homicide,Iran,1954-07-01T00:00:00Z,2020-01-03T00:00:00Z,male,Islam,engineer
Walther Rathenau,homicide,Germany,1867-09-29T00:00:00Z,1922-06-24T00:00:00Z,male,Judaism,engineer
Fazlur Khan,natural causes,United States of America,1929-04-03T00:00:00Z,1982-03-27T00:00:00Z,male,Islam,engineer
Rudolf von Sebottendorf,suicide,Germany,1875-11-09T00:00:00Z,1945-05-08T00:00:00Z,male,Islam,engineer
Roger Boisjoly,natural causes,United States of America,1938-04-25T00:00:00Z,2012-01-06T00:00:00Z,male,Mormonism,engineer
Turgut Özal,natural causes,Turkey,1927-10-13T00:00:00Z,1993-04-17T00:00:00Z,male,Islam,engineer
Steve Jobs,natural causes,United States of America,1955-02-24T00:00:00Z,2011-10-05T00:00:00Z,male,Buddhism,engineer
Leó Szilárd,natural causes,Hungary,1898-02-11T00:00:00Z,1964-05-30T00:00:00Z,male,apostasy in Catholicism,engineer
Prince Friso of Orange-Nassau,accident,Kingdom of the Netherlands,1968-09-25T00:00:00Z,2013-08-12T00:00:00Z,male,Protestant Church in the Netherlands,engineer
Fritz Haber,natural causes,German Empire,1868-12-09T00:00:00Z,1934-01-29T00:00:00Z,male,Judaism,engineer
Leonid Brezhnev,natural causes,Russian Empire,1907-01-01T00:00:00Z,1982-11-10T00:00:00Z,male,atheism,engineer
Thomas Alva Edison,natural causes,United States of America,1847-02-11T00:00:00Z,1931-10-18T00:00:00Z,male,deism,engineer
Mohamed Morsi,natural causes,Egypt,1951-08-08T00:00:00Z,2019-06-17T00:00:00Z,male,Islam,engineer
Herbert Nygren,natural causes,United States of America,1928-06-27T00:00:00Z,2020-04-18T00:00:00Z,male,Methodism,engineer
A. P. J. Abdul Kalam,natural causes,Dominion of India,1931-10-15T00:00:00Z,2015-07-27T00:00:00Z,male,Sunni Islam,engineer
Gabriel Narutowicz,homicide,Second Polish Republic,1865-03-17T00:00:00Z,1922-12-16T00:00:00Z,male,Catholic Church,engineer
Paul MacCready,natural causes,United States of America,1925-09-29T00:00:00Z,2007-08-28T00:00:00Z,male,atheism,engineer
Rudolf von Sebottendorf,suicide,Turkey,1875-11-09T00:00:00Z,1945-05-08T00:00:00Z,male,Islam,engineer
Walther Rathenau,homicide,Weimar Republic,1867-09-29T00:00:00Z,1922-06-24T00:00:00Z,male,Judaism,engineer
Russell A. Kirsch,natural causes,United States of America,1929-06-20T00:00:00Z,2020-08-11T00:00:00Z,male,Judaism,engineer
Richard Crandall,natural causes,United States of America,1947-12-29T00:00:00Z,2012-12-20T00:00:00Z,male,atheism,engineer
Alberto Marvelli,accident,Kingdom of Italy,1918-03-21T00:00:00Z,1946-10-05T00:00:00Z,male,Catholic Church,engineer
Herbert Hoover,natural causes,United States of America,1874-08-10T00:00:00Z,1964-10-20T00:00:00Z,male,Religious Society of Friends,engineer
Alberto Marvelli,accident,Kingdom of Italy,1918-03-21T00:00:00Z,1946-10-10T00:00:00Z,male,Catholic Church,engineer
Leó Szilárd,natural causes,Germany,1898-02-11T00:00:00Z,1964-05-30T00:00:00Z,male,apostasy in Catholicism,engineer
Amar Bose,natural causes,India,1929-11-02T00:00:00Z,2013-07-12T00:00:00Z,male,Hinduism,engineer
Tsutomu Yamaguchi,natural causes,Japan,1916-03-16T00:00:00Z,2010-01-04T00:00:00Z,male,Buddhism,engineer
Fritz Haber,natural causes,Weimar Republic,1868-12-09T00:00:00Z,1934-01-29T00:00:00Z,male,Judaism,engineer
Robert Adler,natural causes,Austria,1913-12-04T00:00:00Z,2007-02-15T00:00:00Z,male,Judaism,engineer
Steve Jobs,natural causes,United States of America,1955-02-24T00:00:00Z,2011-10-05T00:00:00Z,male,Zen,engineer
Guglielmo Marconi,natural causes,Kingdom of Italy,1874-04-25T00:00:00Z,1937-07-20T00:00:00Z,male,Catholic Church,engineer
Nasreddin Murat-Khan,natural causes,Pakistan,1904-01-01T00:00:00Z,1970-10-15T00:00:00Z,male,Islam,engineer
Jack Parsons,accident,United States of America,1914-10-02T00:00:00Z,1952-06-17T00:00:00Z,male,Thelema,engineer
Abu Mahdi al-Muhandis,homicide,Republic of Iraq (1958–68),1954-07-01T00:00:00Z,2020-01-03T00:00:00Z,male,Islam,engineer
John Muir,natural causes,United States of America,1838-04-21T00:00:00Z,1914-12-24T00:00:00Z,male,Christianity,engineer
Wernher von Braun,natural causes,Nazi Germany,1912-03-23T00:00:00Z,1977-06-16T00:00:00Z,male,Evangelicalism,engineer
Kalpana Chawla,accident,India,1962-03-17T00:00:00Z,2003-02-01T00:00:00Z,female,Hinduism,engineer
Eugenio Barsanti,natural causes,Kingdom of Italy,1821-10-12T00:00:00Z,1864-04-19T00:00:00Z,male,Catholic Church,engineer
Amar Bose,natural causes,Dominion of India,1929-11-02T00:00:00Z,2013-07-12T00:00:00Z,male,Hinduism,engineer
Alberto Marvelli,accident,Italy,1918-03-21T00:00:00Z,1946-10-05T00:00:00Z,male,Catholic Church,engineer
Alberto Marvelli,accident,Italy,1918-03-21T00:00:00Z,1946-10-10T00:00:00Z,male,Catholic Church,engineer
Wernher von Braun,natural causes,United States of America,1912-03-23T00:00:00Z,1977-06-16T00:00:00Z,male,Evangelicalism,engineer
Albert François Lebrun,natural causes,France,1871-08-29T00:00:00Z,1950-03-06T00:00:00Z,male,Catholic Church,engineer
John Muir,natural causes,United Kingdom of Great Britain and Ireland,1838-04-21T00:00:00Z,1914-12-24T00:00:00Z,male,Christianity,engineer
Teodoro de Mas y Nadal,homicide,Spain,1858-09-24T00:00:00Z,1936-08-07T00:00:00Z,male,Catholic Church,engineer
Virgilio Barco Vargas,natural causes,Colombia,1921-09-17T00:00:00Z,1997-05-20T00:00:00Z,male,Catholicism,engineer
José María Hernández Garnica,natural causes,Spain,1913-11-17T00:00:00Z,1972-12-07T00:00:00Z,male,Catholic Church,engineer
Leslie Groves,natural causes,United States of America,1896-08-17T00:00:00Z,1970-07-13T00:00:00Z,male,apostasy in Catholicism,engineer
Athar Ali,homicide,Pakistan,1963-08-20T00:00:00Z,2003-10-04T00:00:00Z,male,Christian,engineer
Robert Musil,natural causes,Austria,1880-11-06T00:00:00Z,1942-04-15T00:00:00Z,male,Catholic Church,engineer
Joseph Muzquiz,natural causes,Spain,1912-10-14T00:00:00Z,1983-06-21T00:00:00Z,male,Catholic Church,engineer
Herman Witte,natural causes,Kingdom of the Netherlands,1909-08-18T00:00:00Z,1973-05-30T00:00:00Z,male,Catholic Church,engineer
Abu Mahdi al-Muhandis,homicide,Ba'athist Iraq,1954-07-01T00:00:00Z,2020-01-03T00:00:00Z,male,Islam,engineer
Horatio Kitchener,accident,United Kingdom of Great Britain and Ireland,1850-06-24T00:00:00Z,1916-06-05T00:00:00Z,male,Anglicanism,engineer
Leonid Brezhnev,natural causes,Russian Socialist Federative Soviet Republic,1907-01-01T00:00:00Z,1982-11-10T00:00:00Z,male,atheism,engineer
Leonardo da Vinci,natural causes,Republic of Florence,1452-04-24T00:00:00Z,1519-05-12T00:00:00Z,male,atheism,engineer
Nasreddin Murat-Khan,natural causes,Soviet Union,1904-01-01T00:00:00Z,1970-10-15T00:00:00Z,male,Islam,engineer
Hassan Kamel Al-Sabbah,accident,Lebanon,1894-08-16T00:00:00Z,1935-03-31T00:00:00Z,male,Islam,engineer
Denis Thatcher,natural causes,United Kingdom,1915-05-10T00:00:00Z,2003-06-26T00:00:00Z,male,Anglicanism,engineer
Wernher von Braun,natural causes,German Empire,1912-03-23T00:00:00Z,1977-06-16T00:00:00Z,male,Evangelicalism,engineer
Viktor Dorkin,homicide,Russia,1953-10-03T00:00:00Z,2006-03-31T00:00:00Z,male,Russian Orthodox Church,engineer
Michel Benoist,natural causes,France,1715-10-08T00:00:00Z,1774-10-23T00:00:00Z,male,Catholicism,engineer
Viktor Dorkin,homicide,Soviet Union,1953-10-03T00:00:00Z,2006-03-31T00:00:00Z,male,Russian Orthodox Church,engineer
Mikhail Botvinnik,natural causes,Russia,1911-08-17T00:00:00Z,1995-05-05T00:00:00Z,male,atheism,engineer
Alfred Nobel,natural causes,Sweden,1833-10-21T00:00:00Z,1896-12-10T00:00:00Z,male,atheism,engineer
Barzilla W. Clark,natural causes,United States of America,1880-12-22T00:00:00Z,1943-09-21T00:00:00Z,male,Methodism,engineer
Mikhail Botvinnik,natural causes,Soviet Union,1911-08-17T00:00:00Z,1995-05-05T00:00:00Z,male,atheism,engineer
Walther Rathenau,homicide,Kingdom of Prussia,1867-09-29T00:00:00Z,1922-06-24T00:00:00Z,male,Judaism,engineer
Satyendra Dubey,homicide,India,1973-11-27T00:00:00Z,2003-11-27T00:00:00Z,male,Hinduism,engineer
John Muir,natural causes,Scotland,1838-04-21T00:00:00Z,1914-12-24T00:00:00Z,male,Christianity,engineer
Gustavo Rojas Pinilla,natural causes,Colombia,1900-03-12T00:00:00Z,1975-01-17T00:00:00Z,male,Catholicism,engineer
Nasreddin Murat-Khan,natural causes,British India,1904-01-01T00:00:00Z,1970-10-15T00:00:00Z,male,Islam,engineer
Irvin Herman,natural causes,United States of America,1926-01-11T00:00:00Z,2020-03-25T00:00:00Z,male,United Church of Christ,engineer
Amar Bose,natural causes,British India,1929-11-02T00:00:00Z,2013-07-12T00:00:00Z,male,Hinduism,engineer
Mohammed al-Zawari,homicide,Tunisia,1967-01-01T00:00:00Z,2016-12-15T00:00:00Z,male,Islam,engineer
Leonid Brezhnev,natural causes,Soviet Union,1907-01-01T00:00:00Z,1982-11-10T00:00:00Z,male,atheism,engineer
Ryu Mi-yong,natural causes,North Korea,1921-02-14T00:00:00Z,2016-11-23T00:00:00Z,female,Cheondoism,politician
Georgios Papadopoulos,natural causes,Greece,1919-05-05T00:00:00Z,1999-06-27T00:00:00Z,male,Greek Orthodox Church,politician
Carl Röver,natural causes,German Reich,1889-02-12T00:00:00Z,1942-05-15T00:00:00Z,male,Lapsed Catholic,politician
Stefanos Sarafis,accident,Greece,1890-10-23T00:00:00Z,1957-05-31T00:00:00Z,male,Greek Orthodox Church,politician
Heinrich Himmler,suicide,Nazi Germany,1900-10-07T00:00:00Z,1945-05-23T00:00:00Z,male,Lapsed Catholic,politician
Mohamed Mahmoud Ould Louly,natural causes,Mauritania,1943-01-01T00:00:00Z,2019-03-16T00:00:00Z,male,Sunni Islam,politician
Simón Bolívar,natural causes,Venezuela,1783-07-24T00:00:00Z,1830-12-17T00:00:00Z,male,Regular Masonic jurisdictions,politician
George Habash,natural causes,Mandatory Palestine,1926-08-02T00:00:00Z,2008-01-26T00:00:00Z,male,Greek Orthodox Church,politician
Abdul-Halim Sadulayev,homicide,Russia,1966-06-02T00:00:00Z,2006-06-17T00:00:00Z,male,Sunni Islam,politician
William Hague,natural causes,Australia,1864-03-08T00:00:00Z,1924-10-09T00:00:00Z,male,congregational church,politician
François Mitterrand,natural causes,France,1916-10-26T00:00:00Z,1996-01-08T00:00:00Z,male,agnosticism,politician
Grigoris Lambrakis,homicide,Greece,1912-04-03T00:00:00Z,1963-05-27T00:00:00Z,male,Greek Orthodox Church,politician
Omar Bongo,natural causes,France,1935-12-30T00:00:00Z,2009-06-08T00:00:00Z,male,Sunni Islam,politician
George Hawi,homicide,Lebanon,1938-11-05T00:00:00Z,2005-06-21T00:00:00Z,male,Greek Orthodox Church of Antioch,politician
Omar Bongo,natural causes,Gabon,1935-12-30T00:00:00Z,2009-06-08T00:00:00Z,male,Sunni Islam,politician
Neal Potter,natural causes,United States of America,1915-03-22T00:00:00Z,2008-05-27T00:00:00Z,male,United Methodist Church,politician
Joseph Vardon,natural causes,Australia,1843-07-27T00:00:00Z,1913-07-20T00:00:00Z,male,congregational church,politician
Joseph Goebbels,suicide,Germany,1897-10-29T00:00:00Z,1945-05-01T00:00:00Z,male,Lapsed Catholic,politician
Simón Bolívar,natural causes,Ecuador,1783-07-24T00:00:00Z,1830-12-17T00:00:00Z,male,Regular Masonic jurisdictions,politician
Abigail Adams,natural causes,United States of America,1744-11-22T00:00:00Z,1818-10-28T00:00:00Z,female,congregational church,politician
Valery Kokov,natural causes,Russia,1941-10-18T00:00:00Z,2005-10-29T00:00:00Z,male,Sunni Islam,politician
Simón Bolívar,natural causes,Bolivia,1783-07-24T00:00:00Z,1830-12-17T00:00:00Z,male,Regular Masonic jurisdictions,politician
Buford Pusser,accident,United States of America,1937-12-12T00:00:00Z,1974-08-21T00:00:00Z,male,Churches of Christ,politician
Anwar Sadat,homicide,Egypt,1918-12-25T00:00:00Z,1981-10-06T00:00:00Z,male,Sunni Islam,politician
Eugène Terre'Blanche,homicide,South Africa,1941-01-31T00:00:00Z,2010-04-03T00:00:00Z,male,Afrikaanse Protestantse Kerk,politician
Bertrand Russell,natural causes,United Kingdom of Great Britain and Ireland,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,male,agnosticism,politician
Lee Batchelor,natural causes,United Kingdom of Great Britain and Ireland,1865-04-10T00:00:00Z,1911-10-08T00:00:00Z,male,Churches of Christ,politician
P. W. Botha,natural causes,South Africa,1916-01-12T00:00:00Z,2006-10-31T00:00:00Z,male,Nederduitse Gereformeerde Kerk,politician
Simón Bolívar,natural causes,Gran Colombia,1783-07-24T00:00:00Z,1830-12-17T00:00:00Z,male,Regular Masonic jurisdictions,politician
Akhmad Kadyrov,homicide,Russia,1951-08-23T00:00:00Z,2004-05-09T00:00:00Z,male,Sunni Islam,politician
Abigail Adams,natural causes,United Kingdom of Great Britain and Ireland,1744-11-22T00:00:00Z,1818-10-28T00:00:00Z,female,congregational church,politician
Adolf Hitler,suicide,Austria-Hungary,1889-04-20T00:00:00Z,1945-04-30T00:00:00Z,male,Lapsed Catholic,politician
Heinrich Himmler,suicide,German Empire,1900-10-07T00:00:00Z,1945-05-23T00:00:00Z,male,Lapsed Catholic,politician
Godert Willem de Vos van Steenwijk,natural causes,Kingdom of the Netherlands,1845-12-08T00:00:00Z,1890-01-07T00:00:00Z,male,Dutch Reformed Church,politician
Ahmad Maher,natural causes,Egypt,1935-09-14T00:00:00Z,2010-09-27T00:00:00Z,male,Sunni Islam,politician
Getúlio Vargas,suicide,Brazil,1882-04-19T00:00:00Z,1954-08-24T00:00:00Z,male,agnosticism,politician
Nizam al-Mulk,homicide,Seljuk Empire,1018-01-01T00:00:00Z,1092-10-14T00:00:00Z,male,Sunni Islam,politician
Adolf Hitler,suicide,Weimar Republic,1889-04-20T00:00:00Z,1945-04-30T00:00:00Z,male,Lapsed Catholic,politician
Omar Suleiman,natural causes,Egypt,1936-07-02T00:00:00Z,2012-07-19T00:00:00Z,male,Sunni Islam,politician
Lou Ritter,natural causes,United States of America,1925-09-27T00:00:00Z,2010-04-09T00:00:00Z,male,Presbyterian Church (U.S.A.),politician
Felix Dzerzhinsky,natural causes,Russian Soviet Federative Socialist Republic,1877-09-11T00:00:00Z,1926-07-20T00:00:00Z,male,Lapsed Catholic,politician
A. P. J. Abdul Kalam,natural causes,Dominion of India,1931-10-15T00:00:00Z,2015-07-27T00:00:00Z,male,Sunni Islam,politician
Reinhard Heydrich,homicide,German Reich,1904-03-07T00:00:00Z,1942-06-04T00:00:00Z,male,Lapsed Catholic,politician
Ross Bass,natural causes,United States of America,1918-03-17T00:00:00Z,1993-01-01T00:00:00Z,male,United Methodist Church,politician
Muhammad Ahmad ibn ʿAbdallah,natural causes,Sultanate of Darfur,1844-08-12T00:00:00Z,1885-06-22T00:00:00Z,male,Sunni Islam,politician
Augustine Stow,natural causes,Australia,1833-08-03T00:00:00Z,1903-05-29T00:00:00Z,male,congregational church,politician
Johan de Witt,homicide,Dutch Republic,1625-09-24T00:00:00Z,1672-08-20T00:00:00Z,male,Dutch Reformed Church,politician
Charlie Norwood,natural causes,United States of America,1941-07-27T00:00:00Z,2007-02-13T00:00:00Z,male,United Methodist Church,politician
Schelto Patijn,natural causes,Kingdom of the Netherlands,1936-08-13T00:00:00Z,2007-07-15T00:00:00Z,male,Dutch Reformed Church,politician
Yi Kwang-su,natural causes,Empire of Japan,1892-03-04T00:00:00Z,1950-10-25T00:00:00Z,male,Cheondoism,politician
John Jenkins,natural causes,Australia,1851-09-08T00:00:00Z,1923-02-22T00:00:00Z,male,congregational church,politician
Sulejman Tihić,natural causes,Bosnia and Herzegovina,1951-11-26T00:00:00Z,2014-09-25T00:00:00Z,male,Sunni Islam,politician
Cornelia Wallace,natural causes,United States of America,1939-01-28T00:00:00Z,2009-01-08T00:00:00Z,female,United Methodist Church,politician
Assef Shawkat,homicide,Syria,1950-01-15T00:00:00Z,2012-07-18T00:00:00Z,male,Alawi,politician
Heinrich Himmler,suicide,Weimar Republic,1900-10-07T00:00:00Z,1945-05-23T00:00:00Z,male,Lapsed Catholic,politician
Gamal Abdel Nasser,natural causes,Egypt,1918-01-15T00:00:00Z,1970-09-28T00:00:00Z,male,Sunni Islam,politician
Mohamed Naguib,natural causes,Egypt,1901-02-20T00:00:00Z,1984-08-28T00:00:00Z,male,Sunni Islam,politician
Helen Boosalis,natural causes,United States of America,1919-08-28T00:00:00Z,2009-06-15T00:00:00Z,female,Greek Orthodox Church,politician
Joachim Albrecht Eggeling,suicide,Germany,1884-11-30T00:00:00Z,1945-04-15T00:00:00Z,male,Evangelicalism,politician
Hassan II,natural causes,Morocco,1929-07-09T00:00:00Z,1999-07-23T00:00:00Z,male,Sunni Islam,politician
Robert W. Edgar,natural causes,United States of America,1943-05-29T00:00:00Z,2013-04-23T00:00:00Z,male,United Methodist Church,politician
Felix Dzerzhinsky,natural causes,Soviet Union,1877-09-11T00:00:00Z,1926-07-20T00:00:00Z,male,Lapsed Catholic,politician
Clement Attlee,natural causes,United Kingdom,1883-01-03T00:00:00Z,1967-10-08T00:00:00Z,male,agnosticism,politician
Zviad Gamsakhurdia,suicide,Georgia,1939-03-31T00:00:00Z,1993-12-31T00:00:00Z,male,Georgian Orthodox Church,politician
Zviad Gamsakhurdia,suicide,Soviet Union,1939-03-31T00:00:00Z,1993-12-31T00:00:00Z,male,Georgian Orthodox Church,politician
Muhammad Ahmad ibn ʿAbdallah,natural causes,Mahdist Sudan,1844-08-12T00:00:00Z,1885-06-22T00:00:00Z,male,Sunni Islam,politician
Tommy Burks,homicide,United States of America,1940-05-22T00:00:00Z,1998-10-19T00:00:00Z,male,Churches of Christ,politician
Bertrand Russell,natural causes,United Kingdom,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,male,agnosticism,politician
P. W. Botha,natural causes,South Africa,1916-01-01T00:00:00Z,2006-10-31T00:00:00Z,male,Nederduitse Gereformeerde Kerk,politician
Yi Kwang-su,natural causes,Korean Empire,1892-03-04T00:00:00Z,1950-10-25T00:00:00Z,male,Cheondoism,politician
Russell Billiu Long,natural causes,United States of America,1918-11-03T00:00:00Z,2003-05-09T00:00:00Z,male,United Methodist Church,politician
Hendrik Frensch Verwoerd,homicide,South Africa,1901-09-08T00:00:00Z,1966-09-06T00:00:00Z,male,Dutch Reformed Church,politician
Patsy Mink,natural causes,United States of America,1927-12-06T00:00:00Z,2002-09-28T00:00:00Z,female,congregational church,politician
Lee Batchelor,natural causes,Australia,1865-04-10T00:00:00Z,1911-10-08T00:00:00Z,male,Churches of Christ,politician
George Habash,natural causes,State of Palestine,1926-08-02T00:00:00Z,2008-01-26T00:00:00Z,male,Greek Orthodox Church,politician
Ann Richards,natural causes,United States of America,1933-09-01T00:00:00Z,2006-09-13T00:00:00Z,female,United Methodist Church,politician
Vakhtang Rcheulishvili,natural causes,Georgia,1954-01-01T00:00:00Z,2017-04-13T00:00:00Z,male,Georgian Orthodox Church,politician
